,2x17,2x18,2x19,2x20,2x21,2x22,2x23,3x17,3x18,3x19,3x20,3x21,3x22,3x23,3x24,4x16,4x17,4x18,4x19,4x20,4x21,4x22,4x23,4x24,5x14,5x15,5x16,5x17,5x18,5x19,5x20,5x21,5x22,5x23,5x24,5x25,6x14,6x15,6x16,6x17,6x18,6x19,6x20,6x21,6x22,6x23,6x24,6x25,6x26,7x14,7x15,7x16,7x17,7x18,7x19,7x20,7x21,7x22,7x23,7x24,7x25,7x26,7x27,8x14,8x15,8x16,8x17,8x18,8x19,8x20,8x21,8x22,8x23,8x24,8x25,8x26,8x27,8x28,8x29,9x14,9x15,9x16,9x17,9x18,9x19,9x20,9x21,9x22,9x23,9x24,9x25,9x26,9x27,9x28,9x29,9x30,9x31,10x15,10x16,10x17,10x18,10x19,10x20,10x21,10x22,10x23,10x24,10x25,10x26,10x27,10x28,10x29,10x30,10x31,10x32,11x15,11x16,11x17,11x18,11x19,11x20,11x21,11x22,11x23,11x24,11x25,11x26,11x27,11x28,11x29,11x30,11x31,11x32,11x33,12x15,12x16,12x17,12x18,12x19,12x20,12x21,12x22,12x23,12x24,12x25,12x26,12x27,12x28,12x29,12x30,12x31,12x32,12x33,13x15,13x16,13x17,13x18,13x19,13x20,13x21,13x22,13x23,13x24,13x25,13x26,13x27,13x28,13x29,13x30,13x31,13x32,13x33,14x16,14x17,14x18,14x19,14x20,14x21,14x22,14x23,14x24,14x25,14x26,14x27,14x28,14x29,14x30,14x31,14x32,14x33,15x16,15x17,15x18,15x19,15x20,15x21,15x23,15x24,15x25,15x26,15x27,15x28,15x29,15x30,15x31,15x32,15x33,16x16,16x17,16x18,16x19,16x20,16x21,16x22,16x23,16x24,16x25,16x26,16x27,16x28,16x29,16x30,16x31,16x32,16x33,17x16,17x17,17x18,17x19,17x20,17x21,17x22,17x23,17x24,17x25,17x26,17x27,17x28,17x29,17x30,17x31,17x32,17x33,18x16,18x17,18x18,18x19,18x20,18x21,18x22,18x23,18x24,18x25,18x26,18x27,18x28,18x29,18x30,18x31,18x32,18x33,19x16,19x17,19x18,19x19,19x20,19x21,19x22,19x23,19x24,19x25,19x26,19x27,19x28,19x29,19x30,19x31,19x32,19x33,20x16,20x17,20x18,20x19,20x20,20x21,20x22,20x23,20x24,20x25,20x26,20x27,20x28,20x29,20x30,20x31,20x32,21x17,21x18,21x19,21x20,21x21,21x22,21x23,21x24,21x25,21x26,21x27,21x28,21x29,21x30,21x31,22x17,22x18,22x19,22x20,22x21,22x22,22x23,22x24,22x25,22x26,22x27,22x28,22x29,22x30,22x31,23x18,23x19,23x20,23x21,23x22,23x23,23x24,23x25,23x26,23x27,23x28,23x29,23x30,24x18,24x19,24x20,24x21,24x22,24x23,24x24,24x25,24x26,24x27,24x28,24x29,25x19,25x20,25x21,25x22,25x23,25x24,25x25,25x26,25x27,25x28,25x29,26x20,26x21,26x22,26x23,26x24,26x25,26x26,26x27,26x28,26x29,27x20,27x21,27x22,27x23,27x24,27x25,27x26,27x27
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3,1,1,3,2,2,2,2,1,1,1,1,1,3,1,3,3,2,2,2,2,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,1,1,3,3,1,2,2,2,3,2,1,3,3,3,3,3,3,3,1,1,1,3,3,2,2,2,2,1,1,3,3,3,3,3,3,1,1,3,1,3,3,2,2,2,2,2,1,3,3,1,3,3,1,3,1,1,3,3,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,3,3,2,2,2,2,1,3,1,3,3,3,3,1,3,1,1,3,3,3,2,2,2,2,1,3,1,3,3,3,3,3,1,1,1,3,3,3,2,2,2,2,2,3,3,3,3,3,1,1,1,3,1,1,3,3,2,2,2,2,2,3,3,1,1,3,1,1,3,3,3,3,3,2,2,2,2,3,3,1,1,1,1,1,1,3,3,3,2,2,2,2,3,1,3,1,1,1,1,1,1,3,3,2,2,2,2,1,1,1,1,1,1,1,3,3,2,2,2,2,3,3,1,1,1,1,1,1,2,2,2,3,3,1,1,1,1,3,3,2,2,3,3,1,1,1,1,1,1,1,2,3,3,3,1,1,1
4,1,1,1,2,1,1,1,3,1,1,1,1,1,1,4,3,3,1,1,1,1,1,1,1,3,3,3,3,1,1,2,1,4,1,1,4,3,3,3,3,1,1,1,1,1,4,1,4,4,3,3,3,3,1,1,1,1,4,4,4,4,4,4,3,3,3,3,3,1,1,1,1,4,4,4,4,4,4,4,3,3,3,3,3,3,1,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,4,4,4,4,4,4,4,4,2,2,4,4,1,3,3,3,4,3,1,4,4,4,4,4,4,4,1,2,2,4,4,3,3,3,3,1,1,4,4,4,4,4,4,1,2,4,2,4,4,3,3,3,3,3,1,4,4,1,4,4,2,4,1,2,4,4,3,3,3,3,3,4,4,4,4,4,4,4,1,2,2,2,4,4,3,3,3,3,1,4,1,4,4,4,4,1,4,1,2,4,4,4,3,3,3,3,1,4,1,4,4,4,4,4,2,1,2,4,4,4,3,3,3,3,3,4,4,4,4,4,1,2,2,4,1,1,4,4,3,3,3,3,3,4,4,1,1,4,1,1,4,4,4,4,4,3,3,3,3,4,4,1,1,1,2,1,1,4,4,4,3,3,3,3,4,1,4,2,2,2,2,2,1,4,4,3,3,3,3,1,1,1,2,2,2,2,4,4,3,3,3,3,4,4,1,2,2,2,2,1,3,3,3,4,4,1,1,2,2,4,4,3,3,4,4,1,1,2,2,2,2,1,3,4,4,4,1,2,2
5,1,1,1,2,3,1,1,4,1,1,1,3,3,3,5,4,4,1,1,1,3,3,3,3,4,4,4,4,1,1,2,3,5,3,3,5,4,4,4,4,1,3,3,3,3,5,3,5,5,4,4,4,4,1,1,1,3,5,5,5,5,5,5,4,4,4,4,4,3,1,1,3,5,5,5,5,5,5,5,4,4,4,4,4,4,1,1,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,1,5,5,5,5,5,5,5,5,2,2,5,5,3,4,4,4,5,4,1,5,5,5,5,5,5,5,3,2,2,5,5,4,4,4,4,3,1,5,5,5,5,5,5,3,2,5,2,5,5,4,4,4,4,4,1,5,5,3,5,5,2,5,3,2,5,5,4,4,4,4,4,5,5,5,5,5,5,5,1,2,2,2,5,5,4,4,4,4,1,5,3,5,5,5,5,3,5,3,2,5,5,5,4,4,4,4,1,5,1,5,5,5,5,5,2,3,2,5,5,5,4,4,4,4,4,5,5,5,5,5,1,2,2,5,3,3,5,5,4,4,4,4,4,5,5,1,1,5,1,3,5,5,5,5,5,4,4,4,4,5,5,3,1,1,2,3,3,5,5,5,4,4,4,4,5,1,5,2,2,2,2,2,3,5,5,4,4,4,4,3,1,1,2,2,2,2,5,5,4,4,4,4,5,5,1,2,2,2,2,3,4,4,4,5,5,1,1,2,2,5,5,4,4,5,5,1,1,2,2,2,2,1,4,5,5,5,1,2,2
6,1,1,1,2,3,1,1,4,1,1,1,3,3,3,5,4,4,1,1,1,3,3,3,3,4,6,4,4,1,1,2,3,5,3,3,5,6,6,4,4,1,3,3,3,3,5,3,5,5,6,4,6,4,1,1,1,3,5,5,5,5,5,5,6,6,6,6,4,3,1,1,3,5,5,5,5,5,5,5,4,6,6,6,6,4,1,1,3,5,5,5,5,5,5,5,5,5,4,6,6,6,4,1,1,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,3,1,5,5,5,5,5,5,5,5,2,2,5,5,3,6,6,6,5,6,1,5,5,5,5,5,5,5,3,2,2,5,5,4,6,6,6,3,1,5,5,5,5,5,5,3,2,5,2,5,5,4,6,6,6,4,1,5,5,3,5,5,2,5,3,2,5,5,4,6,6,6,4,5,5,5,5,5,5,5,1,2,2,2,5,5,4,6,4,4,1,5,3,5,5,5,5,3,5,3,2,5,5,5,6,4,6,6,1,5,1,5,5,5,5,5,2,3,2,5,5,5,6,4,6,4,4,5,5,5,5,5,1,2,2,5,3,3,5,5,4,4,6,4,4,5,5,1,1,5,1,3,5,5,5,5,5,4,6,6,6,5,5,3,1,1,2,3,3,5,5,5,4,6,6,4,5,1,5,2,2,2,2,2,3,5,5,4,6,6,4,3,1,1,2,2,2,2,5,5,6,4,6,6,5,5,1,2,2,2,2,3,6,6,6,5,5,1,1,2,2,5,5,4,6,5,5,1,1,2,2,2,2,1,4,5,5,5,1,2,2
7,1,1,1,2,3,1,1,4,1,1,1,3,3,3,5,4,4,1,1,1,3,3,3,3,4,6,4,4,1,1,2,3,7,3,3,7,6,6,4,4,1,3,3,3,3,5,3,5,7,6,4,6,4,1,1,1,3,5,7,7,5,7,7,6,6,6,6,4,3,1,1,3,7,7,7,7,7,7,7,4,6,6,6,6,4,1,1,3,5,5,5,7,7,5,7,7,7,4,6,6,6,4,1,1,5,5,5,7,7,7,7,5,7,7,7,4,6,6,6,4,3,1,5,5,5,7,7,5,5,5,5,5,7,5,4,6,6,6,6,3,1,5,5,5,7,5,7,5,7,2,2,5,5,3,6,6,6,7,6,1,5,7,5,5,7,7,5,3,2,2,7,7,4,6,6,6,3,1,5,5,5,5,7,7,3,2,7,2,7,7,4,6,6,6,4,1,5,5,3,7,5,2,5,3,2,7,7,4,6,6,6,4,5,5,5,7,5,7,7,1,2,2,2,7,7,4,6,4,4,1,5,3,5,5,5,7,3,7,3,2,7,7,7,6,4,6,6,1,5,1,5,5,7,5,7,2,3,2,7,7,5,6,4,6,4,4,7,5,5,5,7,1,2,2,7,3,3,7,7,4,4,6,4,4,5,5,1,1,5,1,3,7,7,7,7,7,4,6,6,6,5,7,3,1,1,2,3,3,7,7,7,4,6,6,4,5,1,5,2,2,2,2,2,3,7,7,4,6,6,4,3,1,1,2,2,2,2,7,7,6,4,6,6,5,5,1,2,2,2,2,3,6,6,6,5,7,1,1,2,2,7,7,4,6,7,5,1,1,2,2,2,2,1,4,5,5,5,1,2,2
8,1,1,1,2,3,1,1,4,1,1,1,3,3,3,5,4,4,1,1,1,3,3,3,3,4,6,4,4,1,1,2,3,7,3,3,7,6,6,4,4,1,3,3,3,3,5,3,5,7,6,4,6,4,1,1,1,3,5,7,7,5,7,7,6,6,6,6,4,3,1,1,3,7,7,7,7,7,7,7,4,6,6,6,6,4,1,1,3,5,5,5,7,7,5,7,7,7,4,8,6,6,4,1,1,5,5,5,7,7,7,7,5,7,7,7,4,6,6,6,4,3,1,5,5,5,7,7,5,5,5,5,5,7,5,4,6,6,6,6,3,1,5,5,5,7,5,7,5,7,2,2,5,5,3,6,6,6,7,8,1,5,7,5,5,7,7,5,3,2,2,7,7,4,6,6,8,3,1,5,5,5,5,7,7,3,2,7,2,7,7,4,6,6,6,4,1,5,5,3,7,5,2,5,3,2,7,7,4,6,8,6,4,5,5,5,7,5,7,7,1,2,2,2,7,7,4,6,4,4,1,5,3,5,5,5,7,3,7,3,2,7,7,7,8,4,6,8,1,5,1,5,5,7,5,7,2,3,2,7,7,5,8,4,6,4,4,7,5,5,5,7,1,2,2,7,3,3,7,7,4,4,6,4,4,5,5,1,1,5,1,3,7,7,7,7,7,4,6,6,8,5,7,3,1,1,2,3,3,7,7,7,4,6,6,4,5,1,5,2,2,2,2,2,3,7,7,4,6,6,4,3,1,1,2,2,2,2,7,7,6,4,6,6,5,5,1,2,2,2,2,3,8,6,6,5,7,1,1,2,2,7,7,4,6,7,5,1,1,2,2,2,2,1,4,5,5,5,1,2,2
9,1,1,1,2,3,1,1,4,1,1,1,3,3,3,5,4,4,1,1,1,3,3,3,3,4,6,7,4,1,1,2,3,8,3,3,8,6,6,4,4,1,3,3,3,3,5,3,5,8,6,4,6,4,1,1,1,3,5,8,8,5,8,8,6,6,6,6,4,3,1,1,3,8,8,8,8,8,8,8,7,6,6,6,6,7,1,1,3,5,5,5,8,8,5,8,8,8,7,9,6,6,7,1,1,5,5,5,8,8,8,8,5,8,8,8,7,6,6,6,7,3,1,5,5,5,8,8,5,5,5,5,5,8,5,7,6,6,6,6,3,1,5,5,5,8,5,8,5,8,2,2,5,5,3,6,6,6,8,9,1,5,8,5,5,8,8,5,3,2,2,8,8,7,6,6,9,3,1,5,5,5,5,8,8,3,2,8,2,8,8,7,6,6,6,7,1,5,5,3,8,5,2,5,3,2,8,8,7,6,9,6,7,5,5,5,8,5,8,8,1,2,2,2,8,8,7,6,4,7,1,5,3,5,5,5,8,3,8,3,2,8,8,8,9,7,6,9,1,5,1,5,5,8,5,8,2,3,2,8,8,5,9,7,6,4,7,8,5,5,5,8,1,2,2,8,3,3,8,8,7,7,6,4,7,5,5,1,1,5,1,3,8,8,8,8,8,4,6,6,9,5,8,3,1,1,2,3,3,8,8,8,7,6,6,4,5,1,5,2,2,2,2,2,3,8,8,7,6,6,4,3,1,1,2,2,2,2,8,8,6,7,6,6,5,5,1,2,2,2,2,3,9,6,6,5,8,1,1,2,2,8,8,7,6,8,5,1,1,2,2,2,2,1,7,5,5,5,1,2,2
10,1,1,1,2,3,1,1,4,1,1,1,3,3,3,5,4,4,1,1,1,3,3,3,3,4,6,7,4,1,1,2,3,8,3,3,8,6,6,4,4,1,3,3,3,3,5,3,5,8,6,4,6,4,1,1,1,3,5,8,8,5,8,8,6,6,6,6,4,3,1,1,3,8,8,8,8,8,8,8,7,6,6,6,6,7,1,1,3,5,5,5,8,8,5,8,8,8,7,9,6,6,7,1,1,5,5,5,8,8,8,8,5,8,8,8,7,6,6,6,7,3,1,5,5,5,8,8,5,5,5,5,5,8,5,7,6,6,6,6,3,1,5,5,5,8,5,8,5,8,10,2,5,5,3,6,6,6,8,9,1,5,8,5,5,8,8,5,3,10,10,8,8,7,6,6,9,3,1,5,5,5,5,8,8,3,10,8,10,8,8,7,6,6,6,7,1,5,5,3,8,5,10,5,3,10,8,8,7,6,9,6,7,5,5,5,8,5,8,8,1,10,10,10,8,8,7,6,4,7,1,5,3,5,5,5,8,3,8,3,10,8,8,8,9,7,6,9,1,5,1,5,5,8,5,8,10,3,2,8,8,5,9,7,6,4,7,8,5,5,5,8,1,10,10,8,3,3,8,8,7,7,6,4,7,5,5,1,1,5,1,3,8,8,8,8,8,4,6,6,9,5,8,3,1,1,2,3,3,8,8,8,7,6,6,4,5,1,5,2,2,2,10,10,3,8,8,7,6,6,4,3,1,1,2,10,10,2,8,8,6,7,6,6,5,5,1,2,2,10,10,3,9,6,6,5,8,1,1,10,10,8,8,7,6,8,5,1,1,2,10,10,10,1,7,5,5,5,1,2,2
