,7x17,7x18,7x19,7x20,7x21,7x22,7x23,7x24,7x25,8x15,8x16,8x17,8x18,8x19,8x20,8x21,8x22,8x23,8x24,8x25,8x26,8x27,9x14,9x15,9x16,9x17,9x18,9x19,9x20,9x21,9x22,9x23,9x24,9x25,9x26,9x27,9x28,10x13,10x15,10x16,10x17,10x18,10x19,10x20,10x21,10x22,10x23,10x24,10x25,10x26,10x27,10x28,10x29,11x13,11x14,11x15,11x16,11x17,11x18,11x19,11x20,11x21,11x22,11x23,11x24,11x25,11x26,11x27,11x28,12x12,12x13,12x14,12x15,12x16,12x17,12x18,12x19,12x20,12x21,12x22,12x23,12x24,12x25,12x26,12x27,12x28,13x12,13x13,13x14,13x15,13x16,13x17,13x18,13x19,13x20,13x21,13x22,13x23,13x24,13x25,13x26,13x27,14x12,14x13,14x14,14x15,14x16,14x17,14x18,14x19,14x20,14x21,14x22,14x23,14x24,14x25,14x26,14x27,15x11,15x12,15x13,15x14,15x15,15x16,15x17,15x18,15x19,15x20,15x21,15x23,15x24,15x25,15x26,15x27,16x11,16x12,16x13,16x14,16x15,16x16,16x17,16x18,16x19,16x20,16x21,16x22,16x23,16x24,16x25,16x26,17x11,17x12,17x13,17x14,17x15,17x16,17x17,17x18,17x19,17x20,17x21,17x22,17x23,17x24,17x25,17x26,18x11,18x12,18x13,18x14,18x15,18x16,18x17,18x18,18x19,18x20,18x21,18x22,18x23,18x24,18x25,19x11,19x12,19x13,19x14,19x15,19x16,19x17,19x18,19x19,19x20,19x21,19x22,19x23,19x24,19x25,20x11,20x12,20x13,20x14,20x15,20x16,20x17,20x18,20x19,20x20,20x21,20x22,20x23,20x24,21x11,21x12,21x13,21x14,21x15,21x16,21x17,21x18,21x19,21x20,21x21,21x22,21x23,21x24,22x11,22x12,22x13,22x14,22x15,22x16,22x17,22x18,22x19,22x20,22x21,22x22,22x23,23x11,23x12,23x13,23x14,23x15,23x16,23x17,23x18,23x19,23x20,23x21,23x22,23x23,24x12,24x13,24x14,24x15,24x16,24x17,24x18,24x19,24x20,24x21,24x22,25x13,25x14,25x15,25x16,25x17,25x18,25x19,25x20,25x21,25x22,26x14,26x15,26x16,26x17,26x18,26x19,26x20,26x21,27x15,27x16,27x17,27x18,27x19,27x20,27x21,28x16,28x17,28x18,28x19,28x20,29x18,29x19,29x20
2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,2
3,1,1,1,2,2,2,1,1,3,2,2,2,2,2,1,1,1,1,2,1,3,3,1,1,2,2,1,1,1,1,1,2,2,2,3,3,3,1,1,1,2,1,1,1,1,2,3,2,3,3,3,3,3,1,1,1,1,1,1,1,2,1,2,1,1,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,1,2,1,1,1,2,1,1,2,2,2,3,3,3,3,3,1,1,2,1,1,1,2,1,1,1,2,3,3,1,3,3,1,1,1,1,1,1,1,1,1,3,1,2,3,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,3,1,1,2,2,2,1,3,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,2,2,2,3,2,3,2,2,1,2,2,3,3,3,2,3,3
4,1,1,1,2,2,2,1,1,3,2,2,4,4,4,1,1,1,1,2,1,3,3,1,1,2,2,1,1,1,1,1,4,4,2,3,3,3,1,1,1,2,1,1,1,1,4,3,4,3,3,3,3,3,1,1,1,1,1,1,1,2,1,2,1,1,3,3,3,3,1,1,1,1,1,1,1,1,2,4,2,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,1,2,1,1,1,2,1,1,2,2,2,3,3,3,3,3,1,1,2,1,1,1,2,1,1,1,2,3,3,1,3,3,1,1,1,1,1,1,1,1,1,3,1,2,3,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,4,4,2,1,1,1,3,1,1,2,2,4,1,3,1,2,2,1,1,1,1,4,1,2,4,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,2,1,4,4,4,1,2,1,1,1,1,1,2,1,2,4,4,2,4,1,1,2,1,1,2,4,4,4,4,2,2,4,4,2,1,4,4,4,4,4,3,3,4,2,4,3,4,3,2,4,1,4,2,3,3,3,4,3,3
5,1,2,1,3,3,3,2,2,4,3,3,5,5,5,2,1,1,2,3,1,4,4,1,1,3,3,2,1,1,1,1,5,5,3,4,4,4,1,1,1,3,1,1,1,2,5,4,5,4,4,4,4,4,1,1,1,1,1,1,1,3,1,3,2,2,4,4,4,4,1,1,1,1,1,1,1,1,3,5,3,4,4,4,4,4,4,1,1,1,1,2,1,1,3,3,3,4,4,4,4,4,4,2,3,2,1,2,3,2,2,3,3,3,4,4,4,4,4,1,2,3,1,1,1,3,2,2,2,3,4,4,2,4,4,1,1,2,2,1,1,2,2,1,4,1,3,4,4,2,2,3,1,1,2,2,2,2,2,2,2,3,1,3,2,2,2,3,3,2,1,2,2,2,3,3,3,3,1,5,5,3,2,2,1,4,2,2,3,3,5,2,4,2,3,3,2,2,2,1,5,2,3,5,3,2,1,2,2,1,1,2,2,3,3,1,2,2,3,3,3,2,1,2,1,5,5,2,2,1,1,1,1,1,1,1,3,1,5,5,5,1,3,1,1,1,2,1,3,1,3,5,5,3,5,1,1,3,2,2,3,5,5,5,5,3,3,5,5,3,2,5,5,5,5,5,4,4,5,3,5,4,5,4,3,5,2,5,3,4,4,4,5,4,4
6,1,2,1,3,3,3,2,2,4,3,3,5,5,5,2,6,1,2,3,1,4,4,1,1,3,3,2,1,1,6,6,5,5,3,4,4,4,6,6,6,3,1,6,1,2,5,4,5,4,4,4,4,4,6,6,6,6,6,1,1,3,1,3,2,2,4,4,4,4,6,1,6,6,1,6,1,1,3,5,3,4,4,4,4,4,4,6,1,1,6,2,6,1,3,3,3,4,4,4,4,4,4,2,3,2,1,2,3,2,2,3,3,3,4,4,4,4,4,1,2,3,1,6,6,3,2,2,2,3,4,4,2,4,4,6,1,2,2,6,6,2,2,6,4,6,3,4,4,2,2,3,1,6,2,2,2,2,2,2,2,3,1,3,2,2,2,3,3,2,6,2,2,2,3,3,3,3,6,5,5,3,2,2,1,4,2,2,3,3,5,2,4,2,3,3,2,2,2,6,5,2,3,5,3,2,1,2,2,1,6,2,2,3,3,1,2,2,3,3,3,2,6,2,1,5,5,2,2,1,6,6,6,6,6,6,3,6,5,5,5,6,3,6,6,6,2,6,3,1,3,5,5,3,5,6,6,3,2,2,3,5,5,5,5,3,3,5,5,3,2,5,5,5,5,5,4,4,5,3,5,4,5,4,3,5,2,5,3,4,4,4,5,4,4
7,1,2,1,3,3,3,4,4,5,3,3,6,6,6,2,7,1,4,3,1,5,5,1,1,3,3,2,1,1,7,7,6,6,3,5,5,5,7,7,7,3,1,7,1,4,6,5,6,5,5,5,5,5,7,7,7,7,7,1,1,3,1,3,2,4,5,5,5,5,7,1,7,7,1,7,1,1,3,6,3,5,5,5,5,5,5,7,1,1,7,4,7,1,3,3,3,5,5,5,5,5,5,2,3,2,1,2,3,2,2,3,3,3,5,5,5,5,5,1,4,3,1,7,7,3,2,4,2,3,5,5,4,5,5,7,1,2,4,7,7,2,2,7,5,7,3,5,5,4,4,3,1,7,2,2,4,2,2,2,4,3,1,3,2,4,4,3,3,2,7,2,2,2,3,3,3,3,7,6,6,3,2,4,1,5,4,4,3,3,6,2,5,4,3,3,4,4,2,7,6,2,3,6,3,2,1,4,2,1,7,4,4,3,3,1,2,4,3,3,3,2,7,4,1,6,6,2,2,1,7,7,7,7,7,7,3,7,6,6,6,7,3,7,7,7,2,7,3,1,3,6,6,3,6,7,7,3,4,2,3,6,6,6,6,3,3,6,6,3,2,6,6,6,6,6,5,5,6,3,6,5,6,5,3,6,2,6,3,5,5,5,6,5,5
8,1,2,1,3,3,3,4,4,5,3,3,6,6,6,2,7,1,4,3,1,5,5,1,1,8,3,2,1,1,7,7,6,6,8,5,5,5,7,7,7,8,1,7,1,4,6,5,6,5,5,5,5,5,7,7,7,7,7,1,1,8,1,8,2,4,5,5,5,5,7,1,7,7,1,7,1,1,8,6,3,5,5,5,5,5,5,7,1,1,7,4,7,1,8,8,3,5,5,5,5,5,5,2,8,2,1,2,8,2,2,3,3,8,5,5,5,5,5,1,4,8,1,7,7,3,2,4,2,3,5,5,4,5,5,7,1,2,4,7,7,2,2,7,5,7,3,5,5,4,4,3,1,7,2,2,4,2,2,2,4,3,1,3,2,4,4,8,3,2,7,2,2,2,8,8,3,3,7,6,6,8,2,4,1,5,4,4,8,3,6,2,5,4,8,8,4,4,2,7,6,2,3,6,3,2,1,4,2,1,7,4,4,8,3,1,2,4,8,3,8,2,7,4,1,6,6,2,2,1,7,7,7,7,7,7,3,7,6,6,6,7,8,7,7,7,2,7,3,1,8,6,6,8,6,7,7,3,4,2,8,6,6,6,6,3,8,6,6,3,2,6,6,6,6,6,5,5,6,8,6,5,6,5,8,6,2,6,3,5,5,5,6,5,5
9,1,2,1,3,3,3,4,4,5,3,3,6,6,6,2,7,1,4,3,1,5,5,1,1,8,3,2,1,1,9,9,6,6,8,5,5,5,7,9,7,8,1,9,1,4,6,5,6,5,5,5,5,5,9,9,9,9,9,1,1,8,1,8,2,4,5,5,5,5,9,1,9,9,1,9,1,1,8,6,3,5,5,5,5,5,5,9,1,1,9,4,9,1,8,8,3,5,5,5,5,5,5,2,8,2,1,2,8,2,2,3,3,8,5,5,5,5,5,1,4,8,1,7,7,3,2,4,2,3,5,5,4,5,5,7,1,2,4,9,9,2,2,9,5,7,3,5,5,4,4,3,1,7,2,2,4,2,2,2,4,3,1,3,2,4,4,8,3,2,9,2,2,2,8,8,3,3,7,6,6,8,2,4,1,5,4,4,8,3,6,2,5,4,8,8,4,4,2,7,6,2,3,6,3,2,1,4,2,1,7,4,4,8,3,1,2,4,8,3,8,2,9,4,1,6,6,2,2,1,7,7,7,9,7,7,3,7,6,6,6,7,8,7,9,7,2,7,3,1,8,6,6,8,6,7,7,3,4,2,8,6,6,6,6,3,8,6,6,3,2,6,6,6,6,6,5,5,6,8,6,5,6,5,8,6,2,6,3,5,5,5,6,5,5
10,1,2,1,3,3,3,4,4,5,3,3,6,6,6,2,7,1,4,3,1,5,5,1,1,8,3,2,1,1,9,9,6,6,8,5,5,5,7,9,10,8,1,9,1,4,6,5,6,5,5,5,5,5,9,9,9,9,9,1,1,8,1,8,2,4,5,5,5,5,9,1,9,9,1,9,1,1,8,6,3,5,5,5,5,5,5,9,1,1,9,4,9,1,8,8,3,5,5,5,5,5,5,2,8,2,1,2,8,2,2,3,3,8,5,5,5,5,5,1,4,8,1,7,7,3,2,4,2,3,5,5,4,5,5,7,1,2,4,9,9,2,2,9,5,10,3,5,5,4,4,3,1,10,2,2,4,2,2,2,4,3,1,3,2,4,4,8,3,2,9,2,2,2,8,8,3,3,7,6,6,8,2,4,1,5,4,4,8,3,6,2,5,4,8,8,4,4,2,7,6,2,3,6,3,2,1,4,2,1,7,4,4,8,3,1,2,4,8,3,8,2,9,4,1,6,6,2,2,1,10,10,7,9,7,10,3,10,6,6,6,10,8,10,9,7,2,7,3,1,8,6,6,8,6,7,10,3,4,2,8,6,6,6,6,3,8,6,6,3,2,6,6,6,6,6,5,5,6,8,6,5,6,5,8,6,2,6,3,5,5,5,6,5,5
