,15x10,16x10,17x10,18x10,19x10,20x10,21x10,22x10,23x10,24x10,25x10,26x10,27x10,28x10,29x10,30x10,31x10,32x10,15x11,16x11,17x11,18x11,19x11,20x11,21x11,22x11,23x11,24x11,25x11,26x11,27x11,28x11,29x11,30x11,31x11,32x11,15x12,16x12,17x12,18x12,19x12,20x12,21x12,22x12,23x12,24x12,25x12,26x12,27x12,28x12,29x12,30x12,31x12,32x12,14x13,15x13,16x13,17x13,18x13,19x13,20x13,21x13,22x13,23x13,24x13,25x13,26x13,27x13,28x13,29x13,30x13,31x13,32x13,14x14,15x14,16x14,17x14,18x14,19x14,20x14,21x14,22x14,23x14,24x14,25x14,26x14,27x14,28x14,29x14,30x14,31x14,32x14,13x15,14x15,15x15,16x15,17x15,18x15,19x15,20x15,21x15,22x15,23x15,24x15,25x15,26x15,27x15,28x15,29x15,30x15,31x15,32x15,13x16,14x16,15x16,16x16,17x16,18x16,19x16,20x16,21x16,22x16,23x16,24x16,25x16,26x16,28x16,29x16,30x16,31x16,32x16,12x17,13x17,14x17,15x17,16x17,17x17,18x17,19x17,20x17,21x17,22x17,23x17,24x17,25x17,26x17,27x17,28x17,29x17,30x17,31x17,32x17,12x18,13x18,14x18,15x18,16x18,17x18,18x18,19x18,20x18,21x18,22x18,23x18,24x18,25x18,26x18,27x18,28x18,29x18,30x18,31x18,32x18,13x19,14x19,15x19,16x19,17x19,18x19,19x19,20x19,21x19,22x19,23x19,24x19,25x19,26x19,27x19,28x19,29x19,30x19,31x19,32x19,12x20,13x20,14x20,15x20,16x20,17x20,18x20,19x20,20x20,21x20,22x20,23x20,24x20,25x20,26x20,27x20,28x20,29x20,30x20,31x20,32x20,13x21,14x21,15x21,16x21,17x21,18x21,20x21,21x21,22x21,23x21,24x21,25x21,26x21,27x21,28x21,29x21,30x21,31x21,32x21,16x22,17x22,18x22,19x22,20x22,21x22,22x22,23x22,24x22,25x22,26x22,27x22,28x22,29x22,30x22,31x22,32x22,17x23,18x23,19x23,20x23,21x23,22x23,23x23,24x23,25x23,26x23,27x23,28x23,29x23,30x23,31x23,32x23,17x24,18x24,19x24,20x24,21x24,22x24,23x24,24x24,25x24,26x24,27x24,28x24,29x24,30x24,31x24,32x24,17x25,19x25,20x25,21x25,22x25,23x25,24x25,25x25,26x25,27x25,28x25,29x25,30x25,31x25,32x25,20x26,21x26,22x26,23x26,24x26,25x26,26x26,27x26,28x26,29x26,30x26,31x26,32x26,22x27,23x27,24x27,25x27,26x27,27x27,28x27,29x27,30x27,31x27,32x27,27x28,28x28,29x28,30x28,31x28,32x28,17x5,18x5,19x5,20x5,21x5,22x5,23x5,24x5,25x5,26x5,27x5,16x6,17x6,18x6,19x6,20x6,21x6,22x6,23x6,24x6,25x6,26x6,27x6,28x6,29x6,15x7,16x7,17x7,18x7,19x7,20x7,21x7,22x7,23x7,24x7,25x7,26x7,27x7,28x7,29x7,30x7,31x7,32x7,15x8,16x8,17x8,18x8,19x8,20x8,21x8,22x8,23x8,24x8,25x8,26x8,27x8,28x8,29x8,30x8,31x8,32x8,15x9,16x9,17x9,18x9,19x9,20x9,21x9,22x9,23x9,24x9,25x9,26x9,27x9,28x9,29x9,30x9,31x9,32x9
2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
3,1,2,3,3,2,2,2,2,2,2,1,3,3,2,1,2,1,3,1,1,2,2,2,2,2,3,3,3,2,2,3,3,2,1,1,1,1,1,1,1,2,3,3,3,3,3,2,3,2,3,2,1,1,1,1,1,3,3,2,2,3,3,3,3,3,2,3,3,3,1,3,2,2,1,1,1,3,3,3,3,3,3,3,2,2,1,2,3,1,1,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,3,3,1,3,3,3,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,3,3,3,3,3,2,2,3,2,1,1,1,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,3,1,1,1,3,1,3,3,3,2,3,3,2,3,3,3,2,1,1,1,3,3,1,3,3,3,3,3,3,1,3,1,3,2,3,2,1,3,1,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,2,3,3,2,1,3,3,2,1,1,1,1,1,1,3,3,3,2,1,3,3,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,2,2,2,2,2,2,3,2,3,1,3,3,3,1,2,2,2
4,1,2,3,3,2,2,2,2,4,2,1,3,3,4,1,4,1,3,1,1,2,2,2,2,2,3,3,3,4,4,3,3,4,1,1,1,1,1,1,1,4,3,3,3,3,3,4,3,4,3,4,1,1,1,1,1,3,3,4,4,3,3,3,3,3,4,3,3,3,1,3,4,4,1,1,1,3,3,3,3,3,3,3,4,4,1,4,3,1,1,4,4,1,1,1,3,3,3,3,3,3,3,3,3,4,3,4,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,3,3,1,3,3,3,1,1,1,1,1,1,1,1,1,3,3,4,4,4,3,3,3,3,3,3,4,4,3,2,1,1,1,1,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,3,1,1,1,3,1,3,3,3,4,3,3,2,3,3,3,4,1,1,1,3,3,1,3,3,3,3,3,3,1,3,1,3,4,3,4,1,3,1,3,3,3,3,3,3,3,3,1,1,1,1,1,4,1,1,3,3,3,3,3,3,3,3,3,1,4,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,4,1,1,4,3,3,4,1,3,3,4,1,1,1,1,1,1,3,3,3,4,1,3,3,4,4,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,1,1,2,2,2,2,2,2,2,4,2,1,2,2,2,4,2,2,2,2,2,2,2,2,2,3,4,2,2,1,4,4,3,1,1,2,2,2,2,2,2,2,2,2,4,3,3,4,4,4,4,1,1,2,2,2,2,2,2,3,4,3,1,3,3,3,1,4,4,4
5,1,2,3,3,2,2,2,2,4,2,1,3,3,4,1,4,1,3,1,1,2,2,2,2,2,3,3,3,4,4,3,3,4,1,1,1,1,1,1,1,4,3,3,3,3,3,4,3,4,3,4,1,1,1,1,1,5,3,4,4,3,3,3,3,3,4,3,3,3,1,5,4,4,1,1,1,5,5,5,3,3,3,3,4,4,1,4,3,1,1,4,4,1,1,1,5,5,5,3,3,3,3,3,3,4,3,4,1,1,1,1,1,1,1,1,1,5,5,5,3,4,4,3,3,1,3,3,3,1,1,1,1,1,1,1,1,1,5,5,4,4,4,3,3,3,3,3,3,4,4,3,2,1,1,1,1,1,5,5,3,4,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,5,1,5,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,5,1,1,1,5,1,3,3,3,4,3,3,2,3,3,3,4,1,1,1,5,5,1,3,3,3,3,3,3,1,3,1,3,4,3,4,1,3,1,5,3,3,3,3,3,3,3,1,1,1,1,1,4,1,1,3,3,3,3,3,3,3,3,3,1,4,1,1,1,1,1,3,5,3,3,3,3,3,3,1,1,1,1,1,4,1,1,4,3,3,4,1,3,3,4,1,1,1,1,1,1,3,3,5,4,1,5,5,4,4,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,1,1,2,2,2,2,2,2,2,4,2,1,2,2,2,4,2,2,2,2,2,2,2,2,2,3,4,2,2,1,4,4,3,1,1,2,2,2,2,2,2,2,2,2,4,3,3,4,4,4,4,1,1,2,2,2,2,2,2,3,4,3,1,3,3,3,1,4,4,4
6,1,2,3,3,2,2,2,2,4,2,1,3,3,4,1,4,1,3,1,1,2,2,2,2,2,5,3,3,4,4,3,3,4,1,1,1,1,1,1,1,4,5,5,5,5,3,4,3,4,3,4,1,1,1,1,1,6,3,4,4,5,5,3,3,3,4,5,5,5,1,6,4,4,1,1,1,6,6,6,5,5,5,5,4,4,1,4,3,1,1,4,4,1,1,1,6,6,6,3,5,5,3,3,5,4,3,4,1,1,1,1,1,1,1,1,1,6,6,6,3,4,4,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,6,6,4,4,4,5,5,5,5,5,5,4,4,5,2,1,1,1,1,1,6,6,3,4,5,3,5,3,5,5,5,3,5,3,1,3,1,1,1,1,1,1,6,1,6,3,5,5,3,5,5,3,5,5,5,4,1,1,1,1,6,1,1,1,6,1,3,5,5,4,3,3,2,5,3,3,4,1,1,1,6,6,1,3,5,5,5,3,3,1,3,1,3,4,3,4,1,3,1,6,5,5,5,3,3,3,3,1,1,1,1,1,4,1,1,3,5,5,5,3,3,3,3,3,1,4,1,1,1,1,1,5,6,3,3,3,3,3,3,1,1,1,1,1,4,1,1,4,5,3,4,1,3,3,4,1,1,1,1,1,1,3,3,6,4,1,6,6,4,4,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,1,1,2,2,2,2,2,2,2,4,2,1,2,2,2,4,2,2,2,2,2,2,2,2,2,3,4,2,2,1,4,4,3,1,1,2,2,2,2,2,2,2,2,2,4,3,3,4,4,4,4,1,1,2,2,2,2,2,2,3,4,3,1,3,5,3,1,4,4,4
7,1,2,3,3,2,2,2,2,4,2,1,3,3,5,1,5,1,3,1,1,2,2,2,2,2,6,3,3,5,5,3,3,4,1,1,1,1,1,1,1,5,6,6,6,6,3,4,3,5,3,5,1,1,1,1,1,7,3,4,4,6,6,3,3,3,4,6,6,6,1,7,4,5,1,1,1,7,7,7,6,6,6,6,4,4,1,5,3,1,1,4,4,1,1,1,7,7,7,3,6,6,3,3,6,4,3,4,1,1,1,1,1,1,1,1,1,7,7,7,3,5,4,6,6,1,6,6,6,1,1,1,1,1,1,1,1,1,7,7,5,4,5,6,6,6,6,6,6,4,4,6,2,1,1,1,1,1,7,7,3,4,6,3,6,3,6,6,6,3,6,3,1,3,1,1,1,1,1,1,7,1,7,3,6,6,3,6,6,3,6,6,6,4,1,1,1,1,7,1,1,1,7,1,3,6,6,4,3,3,2,6,3,3,4,1,1,1,7,7,1,3,6,6,6,3,3,1,3,1,3,4,3,4,1,3,1,7,6,6,6,3,3,3,3,1,1,1,1,1,5,1,1,3,6,6,6,3,3,3,3,3,1,5,1,1,1,1,1,6,7,3,3,3,3,3,3,1,1,1,1,1,5,1,1,5,6,3,5,1,3,3,5,1,1,1,1,1,1,3,3,7,4,1,7,7,4,4,4,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,1,1,2,2,2,2,2,2,2,5,2,1,2,2,2,5,2,2,2,2,2,2,2,2,2,3,5,2,2,1,4,5,3,1,1,2,2,2,2,2,2,2,2,2,5,3,3,5,5,5,4,1,1,2,2,2,2,2,2,3,5,3,1,3,6,3,1,5,5,5
8,1,2,3,3,4,4,4,2,5,4,1,3,3,6,1,6,1,3,1,1,4,4,4,4,2,7,3,3,6,6,3,3,5,1,1,1,1,1,1,1,6,7,7,7,7,3,5,3,6,3,6,1,1,1,1,1,8,3,5,5,7,7,3,3,3,5,7,7,7,1,8,5,6,1,1,1,8,8,8,7,7,7,7,5,5,1,6,3,1,1,5,5,1,1,1,8,8,8,3,7,7,3,3,7,5,3,5,1,1,1,1,1,1,1,1,1,8,8,8,3,6,5,7,7,1,7,7,7,1,1,1,1,1,1,1,1,1,8,8,6,5,6,7,7,7,7,7,7,5,5,7,4,1,1,1,1,1,8,8,3,5,7,3,7,3,7,7,7,3,7,3,1,3,1,1,1,1,1,1,8,1,8,3,7,7,3,7,7,3,7,7,7,5,1,1,1,1,8,1,1,1,8,1,3,7,7,5,3,3,4,7,3,3,5,1,1,1,8,8,1,3,7,7,7,3,3,1,3,1,3,5,3,5,1,3,1,8,7,7,7,3,3,3,3,1,1,1,1,1,6,1,1,3,7,7,7,3,3,3,3,3,1,6,1,1,1,1,1,7,8,3,3,3,3,3,3,1,1,1,1,1,6,1,1,6,7,3,6,1,3,3,6,1,1,1,1,1,1,3,3,8,5,1,8,8,5,5,5,1,1,1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,1,3,1,1,1,1,4,2,4,2,2,2,4,6,4,1,2,4,2,6,4,2,2,4,2,4,4,4,2,3,6,4,2,1,5,6,3,1,1,2,2,2,4,2,4,4,4,4,6,3,3,6,6,6,5,1,1,2,2,2,2,2,4,3,6,3,1,3,7,3,1,6,6,6
9,1,2,3,3,4,4,4,2,5,4,1,3,3,6,1,6,1,3,1,1,4,4,4,4,2,7,3,3,6,6,3,3,5,1,1,1,1,1,1,1,6,7,7,7,7,3,5,3,6,3,6,1,1,1,1,1,8,3,5,5,7,7,3,3,3,5,7,7,7,1,8,5,6,1,1,1,8,8,8,7,7,7,7,5,5,1,6,3,1,1,5,5,1,1,1,8,8,8,3,7,7,3,3,7,5,3,5,1,1,1,1,1,1,1,1,1,8,8,8,3,6,5,7,7,1,7,7,7,1,1,1,1,1,1,1,1,1,8,8,6,5,6,7,7,7,7,7,7,5,5,7,4,1,1,1,1,1,9,9,3,5,7,3,7,3,7,7,7,3,7,3,1,3,1,1,1,1,1,1,9,1,9,3,7,7,3,7,7,3,7,7,7,5,1,1,1,1,9,1,1,1,9,1,3,7,7,5,3,3,4,7,3,3,5,1,1,1,9,9,1,3,7,7,7,3,3,1,3,1,3,5,3,5,1,3,1,9,7,7,7,3,3,3,3,1,1,1,1,1,6,1,1,3,7,7,7,3,3,3,3,3,1,6,1,1,1,1,1,7,8,3,3,3,3,3,3,1,1,1,1,1,6,1,1,6,7,3,6,1,3,3,6,1,1,1,1,1,1,3,3,8,5,1,8,8,5,5,5,1,1,1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,1,3,1,1,1,1,4,2,4,2,2,2,4,6,4,1,2,4,2,6,4,2,2,4,2,4,4,4,2,3,6,4,2,1,5,6,3,1,1,2,2,2,4,2,4,4,4,4,6,3,3,6,6,6,5,1,1,2,2,2,2,2,4,3,6,3,1,3,7,3,1,6,6,6
10,1,2,3,3,4,4,4,2,5,4,1,3,3,6,1,6,1,3,1,1,4,7,4,7,2,8,3,3,6,6,3,3,5,1,1,1,1,1,1,1,6,8,8,8,8,3,5,3,6,3,6,1,1,1,1,1,9,3,5,5,8,8,3,3,3,5,8,8,8,1,9,5,6,1,1,1,9,9,9,8,8,8,8,5,5,1,6,3,1,1,5,5,1,1,1,9,9,9,3,8,8,3,3,8,5,3,5,1,1,1,1,1,1,1,1,1,9,9,9,3,6,5,8,8,1,8,8,8,1,1,1,1,1,1,1,1,1,9,9,6,5,6,8,8,8,8,8,8,5,5,8,4,1,1,1,1,1,10,10,3,5,8,3,8,3,8,8,8,3,8,3,1,3,1,1,1,1,1,1,10,1,10,3,8,8,3,8,8,3,8,8,8,5,1,1,1,1,10,1,1,1,10,1,3,8,8,5,3,3,4,8,3,3,5,1,1,1,10,10,1,3,8,8,8,3,3,1,3,1,3,5,3,5,1,3,1,10,8,8,8,3,3,3,3,1,1,1,1,1,6,1,1,3,8,8,8,3,3,3,3,3,1,6,1,1,1,1,1,8,9,3,3,3,3,3,3,1,1,1,1,1,6,1,1,6,8,3,6,1,3,3,6,1,1,1,1,1,1,3,3,9,5,1,9,9,5,5,5,1,1,1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,1,3,1,1,1,1,7,2,7,2,2,2,7,6,4,1,2,7,2,6,7,2,2,7,2,4,4,4,2,3,6,4,2,1,5,6,3,1,1,2,2,2,4,2,7,7,4,4,6,3,3,6,6,6,5,1,1,2,2,2,2,2,4,3,6,3,1,3,8,3,1,6,6,6
